date,casos
17/03/2020,0
18/03/2020,2
19/03/2020,0
20/03/2020,0
21/03/2020,0
22/03/2020,3
23/03/2020,2
24/03/2020,0
25/03/2020,2
26/03/2020,2
27/03/2020,3
28/03/2020,4
30/03/2020,14
31/03/2020,1
01/04/2020,3
02/04/2020,14
03/04/2020,8
06/04/2020,8
07/04/2020,12
08/04/2020,0
11/04/2020,7
13/04/2020,15
14/04/2020,5
15/04/2020,3
16/04/2020,23
17/04/2020,5
18/04/2020,7
20/04/2020,1
22/04/2020,-4
23/04/2020,21
24/04/2020,13
25/04/2020,2
27/04/2020,11
28/04/2020,15
29/04/2020,13
30/04/2020,16
02/05/2020,8
04/05/2020,39
05/05/2020,22
06/05/2020,10
07/05/2020,21
08/05/2020,30
09/05/2020,2
11/05/2020,4
12/05/2020,24
13/05/2020,17
14/05/2020,1
15/05/2020,12
16/05/2020,2
18/05/2020,45
19/05/2020,41
20/05/2020,44
21/05/2020,25
22/05/2020,34
23/05/2020,4
26/05/2020,71
27/05/2020,40
28/05/2020,67
29/05/2020,48
30/05/2020,24
01/06/2020,24
02/06/2020,67
03/06/2020,45
04/06/2020,64
05/06/2020,50
06/06/2020,22
08/06/2020,66
09/06/2020,67
10/06/2020,126
12/06/2020,64
13/06/2020,32
15/06/2020,42
16/06/2020,193
17/06/2020,107
19/06/2020,210
20/06/2020,58
22/06/2020,89
23/06/2020,173
24/06/2020,97
25/06/2020,99
26/06/2020,189
27/06/2020,13
29/06/2020,220
30/06/2020,90
01/07/2020,122
02/07/2020,58
03/07/2020,107
04/07/2020,217
06/07/2020,113
07/07/2020,86
08/07/2020,130
09/07/2020,116
10/07/2020,39
11/07/2020,3
13/07/2020,247
14/07/2020,111
15/07/2020,22
16/07/2020,13
17/07/2020,284
18/07/2020,75
20/07/2020,32
21/07/2020,74
22/07/2020,423
23/07/2020,313
24/07/2020,317
25/07/2020,8
28/07/2020,441
29/07/2020,223
30/07/2020,116
31/07/2020,379
01/08/2020,32
03/08/2020,249
04/08/2020,261
05/08/2020,316
06/08/2020,224
07/08/2020,363
08/08/2020,212
10/08/2020,135
11/08/2020,252
12/08/2020,483
13/08/2020,208
14/08/2020,230
15/08/2020,0
17/08/2020,343
18/08/2020,244
19/08/2020,345
20/08/2020,250
21/08/2020,216
22/08/2020,0
24/08/2020,480
25/08/2020,241
26/08/2020,246
27/08/2020,299
28/08/2020,204
29/08/2020,0
31/08/2020,276
01/09/2020,253
02/09/2020,215
03/09/2020,210
04/09/2020,210
05/09/2020,0
08/09/2020,396
09/09/2020,146
10/09/2020,140
11/09/2020,260
12/09/2020,0
14/09/2020,290
15/09/2020,312
16/09/2020,281
17/09/2020,406
18/09/2020,177
19/09/2020,0
21/09/2020,182
22/09/2020,144
23/09/2020,111
24/09/2020,142
25/09/2020,218
26/09/2020,0
28/09/2020,127
29/09/2020,97
30/09/2020,74
01/10/2020,75
02/10/2020,103
03/10/2020,0
05/10/2020,169
06/10/2020,108
07/10/2020,81
08/10/2020,58
09/10/2020,135
10/10/2020,13
13/10/2020,89
14/10/2020,91
15/10/2020,43
16/10/2020,43
17/10/2020,38
19/10/2020,77
20/10/2020,58
21/10/2020,61
22/10/2020,40
23/10/2020,56
24/10/2020,29
26/10/2020,56
27/10/2020,49
28/10/2020,51
29/10/2020,47
30/10/2020,70
31/10/2020,8
03/11/2020,61
04/11/2020,18
05/11/2020,70
06/11/2020,59
07/11/2020,5
09/11/2020,73
10/11/2020,60
11/11/2020,45
12/11/2020,113
13/11/2020,78
14/11/2020,17
16/11/2020,74
17/11/2020,113
18/11/2020,92
19/11/2020,173
20/11/2020,116
21/11/2020,26
23/11/2020,142
24/11/2020,114
25/11/2020,98
26/11/2020,78
27/11/2020,103
28/11/2020,31
30/11/2020,94
01/12/2020,144
02/12/2020,96
03/12/2020,158
04/12/2020,99
05/12/2020,26
07/12/2020,168
08/12/2020,224
09/12/2020,155
10/12/2020,135
11/12/2020,87
12/12/2020,21
14/12/2020,213
15/12/2020,112
16/12/2020,255
17/12/2020,376
18/12/2020,264
19/12/2020,14
21/12/2020,0
22/12/2020,358
23/12/2020,587
24/12/2020,140
26/12/2020,154
28/12/2020,146
29/12/2020,338
30/12/2020,244
31/12/2020,387
02/01/2021,289
04/01/2021,-2.069
05/01/2021,2.686
06/01/2021,450
07/01/2021,744
08/01/2021,577
09/01/2021,147
11/01/2021,873
12/01/2021,665
13/01/2021,592
14/01/2021,372
15/01/2021,575
16/01/2021,40
18/01/2021,872
19/01/2021,542
20/01/2021,493
21/01/2021,1.142
22/01/2021,0
23/01/2021,93
25/01/2021,570
26/01/2021,-9.178
27/01/2021,10.652
28/01/2021,312
29/01/2021,583
30/01/2021,355
01/02/2021,191
02/02/2021,579
03/02/2021,878
04/02/2021,1.138
05/02/2021,926
06/02/2021,335
08/02/2021,425
09/02/2021,417
10/02/2021,244
11/02/2021,247
12/02/2021,257
13/02/2021,122
15/02/2021,214
16/02/2021,247
17/02/2021,159
18/02/2021,195
19/02/2021,152
20/02/2021,141
22/02/2021,261
23/02/2021,266
24/02/2021,249
25/02/2021,177
26/02/2021,183
27/02/2021,122
01/03/2021,221
02/03/2021,232
03/03/2021,141
04/03/2021,26
05/03/2021,420
06/03/2021,131
08/03/2021,268
09/03/2021,254
10/03/2021,199
11/03/2021,258
12/03/2021,315
13/03/2021,290
15/03/2021,429
16/03/2021,295
17/03/2021,91
19/03/2021,625
20/03/2021,266
22/03/2021,451
23/03/2021,376
24/03/2021,310
25/03/2021,368
26/03/2021,309
27/03/2021,110
29/03/2021,11
30/03/2021,942
31/03/2021,380
01/04/2021,246
03/04/2021,359
05/04/2021,18
06/04/2021,704
07/04/2021,310
08/04/2021,305
09/04/2021,250
10/04/2021,241
12/04/2021,328
13/04/2021,303
14/04/2021,369
15/04/2021,296
16/04/2021,291
17/04/2021,251
19/04/2021,431
20/04/2021,289
22/04/2021,578
23/04/2021,324
24/04/2021,32
26/04/2021,781
27/04/2021,358
28/04/2021,320
29/04/2021,314
30/04/2021,300
03/05/2021,656
04/05/2021,806
05/05/2021,0
06/05/2021,183
07/05/2021,299
08/05/2021,282
10/05/2021,482
11/05/2021,337
12/05/2021,336
13/05/2021,406
14/05/2021,367
15/05/2021,284
17/05/2021,516
18/05/2021,348
19/05/2021,340
20/05/2021,508
21/05/2021,423
22/05/2021,371
24/05/2021,645
25/05/2021,447
26/05/2021,372
27/05/2021,76
28/05/2021,21
29/05/2021,1.052
31/05/2021,757
01/06/2021,481
02/06/2021,315
04/06/2021,871
05/06/2021,207
07/06/2021,793
08/06/2021,408
09/06/2021,538
10/06/2021,414
11/06/2021,349
12/06/2021,314
14/06/2021,466
15/06/2021,515
16/06/2021,379
17/06/2021,418
18/06/2021,253
19/06/2021,282
21/06/2021,570
22/06/2021,297
23/06/2021,267
24/06/2021,272
25/06/2021,284
26/06/2021,233
28/06/2021,362
29/06/2021,121
30/06/2021,183
01/07/2021,436
02/07/2021,231
03/07/2021,180
05/07/2021,293
06/07/2021,232
07/07/2021,197
08/07/2021,180
10/07/2021,276
12/07/2021,248
13/07/2021,137
14/07/2021,272
15/07/2021,145
16/07/2021,168
17/06/2021,146
19/07/2021,267
20/07/2021,144
21/07/2021,125
22/07/2021,388
23/07/2021,143
24/07/2021,93
