data,vacinado
17/02/2021,1226
18/02/2021,894
19/02/2021,1147
22/02/2021,882
23/02/2021,977
24/02/2021,1037
25/02/2021,809
26/02/2021,712
01/03/2021,3740
02/03/2021,5919
03/03/2021,2597
04/03/2021,851
05/03/2021,481
08/03/2021,5892
09/03/2021,2181
10/03/2021,567
11/03/2021,554
12/03/2021,318
15/03/2021,2557
17/03/2021,3449
18/03/2021,1677
22/03/2021,9929
23/03/2021,154
24/03/2021,3079
25/03/2021,8181
26/03/2021,2586
29/03/2021,5218
30/03/2021,1428
31/03/2021,682
05/04/2021,4778
06/04/2021,1411
07/04/2021,3766
08/04/2021,2135
09/04/2021,7336
12/04/2021,3799
13/04/2021,2845
14/04/2021,4449
15/04/2021,7380
16/04/2021,5230
19/04/2021,1911
20/04/2021,4516
22/04/2021,10101
23/04/2021,4157
26/04/2021,1656
27/04/2021,3936
28/04/2021,6689
29/04/2021,2732
30/04/2021,1648
03/05/2021,1585
04/05/2021,7813
05/05/2021,7701
06/05/2021,7423
07/05/2021,5346
10/05/2021,4371
11/05/2021,1974
12/05/2021,4875
13/05/2021,5701
14/05/2021,7413
18/05/2021,10246
19/05/2021,3021
20/05/2021,5749
21/05/2021,5729
24/05/2021,1942
25/05/2021,2392
26/05/2021,3256
27/05/2021,4255
28/05/2021,4989
31/05/2021,2637
01/06/2021,3998
02/06/2021,4459
07/06/2021,5388
08/06/2021,2965
09/06/2021,4757
10/06/2021,5359
11/06/2021,5426
14/06/2021,11763
15/06/2021,12134
16/06/2021,13998
17/06/2021,14722
18/06/2021,8068
21/06/2021,7160
22/06/2021,3206
23/06/2021,5853
24/06/2021,2763
25/06/2021,6589
28/06/2021,4690
29/06/2021,586
30/06/2021,9257
01/07/2021,512
02/07/2021,8500
05/07/2021,3282
06/07/2021,7057
07/07/2021,11956
08/07/2021,10225
12/07/2021,1554
13/07/2021,2223
14/07/2021,11796
15/07/2021,9139
16/07/2021,9694